port,hits
20.0,10.0
21.0,61.0
22.0,2027.0
23.0,492.0
26.0,12.0
43.0,10.0
80.0,146.0
81.0,46.0
82.0,18.0
83.0,10.0
84.0,7.0
85.0,7.0
86.0,10.0
87.0,10.0
88.0,11.0
89.0,10.0
102.0,13.0
139.0,12.0
161.0,8.0
179.0,10.0
308.0,10.0
443.0,1852.0
444.0,10.0
445.0,111.0
523.0,10.0
554.0,8.0
625.0,10.0
789.0,10.0
790.0,13.0
808.0,10.0
873.0,10.0
990.0,2.0
1025.0,325.0
1080.0,20.0
1085.0,36.0
1086.0,46.0
1087.0,35.0
1088.0,36.0
1089.0,35.0
1090.0,3.0
1111.0,11.0
1244.0,26.0
1291.0,11.0
1295.0,20.0
1337.0,46.0
1377.0,10.0
1381.0,5.0
1413.0,1.0
1433.0,124.0
1516.0,5.0
1578.0,10.0
1596.0,15.0
1706.0,1.0
1723.0,16.0
1741.0,1.0
1769.0,4.0
1801.0,31.0
1832.0,10.0
1888.0,25.0
1893.0,25.0
2000.0,82.0
2003.0,3.0
2078.0,13.0
2083.0,10.0
2086.0,27.0
2095.0,18.0
2103.0,3.0
2144.0,20.0
2181.0,31.0
2222.0,15.0
2243.0,32.0
2321.0,15.0
2332.0,17.0
2375.0,96.0
2451.0,25.0
2454.0,37.0
2473.0,10.0
2484.0,10.0
2487.0,11.0
2525.0,33.0
2641.0,20.0
2683.0,20.0
2716.0,15.0
2782.0,10.0
2792.0,2.0
2829.0,10.0
2936.0,10.0
3000.0,10.0
3020.0,15.0
3128.0,25.0
3129.0,20.0
3148.0,10.0
3283.0,25.0
3305.0,20.0
3306.0,60.0
3310.0,20.0
3343.0,18.0
3382.0,115.0
3384.0,10.0
3388.0,9.0
3389.0,87.0
3392.0,10.0
3396.0,2.0
3398.0,8.0
3399.0,13.0
3402.0,8.0
3443.0,10.0
3579.0,1.0
3587.0,1.0
3597.0,10.0
3906.0,10.0
4000.0,44.0
4005.0,30.0
4040.0,20.0
4067.0,10.0
4080.0,25.0
4084.0,8.0
4324.0,35.0
4350.0,6.0
4391.0,10.0
4404.0,31.0
4424.0,36.0
4427.0,32.0
4431.0,10.0
4433.0,6.0
4443.0,40.0
4474.0,6.0
4506.0,4.0
4601.0,8.0
4643.0,8.0
4786.0,9.0
5005.0,4.0
5011.0,11.0
5038.0,41.0
5053.0,8.0
5061.0,10.0
5070.0,26.0
5071.0,46.0
5122.0,25.0
5244.0,25.0
5353.0,8.0
5417.0,8.0
5424.0,1.0
5443.0,31.0
5505.0,4.0
5543.0,12.0
5544.0,10.0
5555.0,26.0
5566.0,25.0
5601.0,27.0
5603.0,2.0
5631.0,19.0
5632.0,20.0
5661.0,10.0
5792.0,10.0
5900.0,52245.0
5902.0,10.0
5910.0,15.0
5913.0,10.0
5952.0,10.0
6000.0,22.0
6001.0,25.0
6005.0,10.0
6036.0,172.0
6037.0,15.0
6189.0,10.0
6363.0,25.0
6513.0,10.0
6519.0,10.0
6667.0,90.0
6697.0,20.0
6775.0,10.0
6896.0,10.0
