ip,hits
1.10.209.17,3.0
1.160.245.126,2.0
1.169.69.67,2.0
1.171.36.251,2.0
1.187.213.20,5.0
1.2.164.169,6.0
1.20.171.116,44.0
1.214.194.34,38.0
1.34.233.211,4.0
1.4.162.142,4.0
1.4.173.136,1.0
1.4.255.89,5.0
1.58.34.114,2.0
1.83.125.190,41.0
1.83.125.203,2.0
1.83.125.247,22.0
1.83.125.25,21.0
1.85.216.4,2.0
1.85.217.90,5.0
1.95.130.243,6.0
100.0.121.13,25.0
100.0.162.146,4.0
100.0.201.20,3.0
100.0.212.122,16.0
100.0.218.195,4.0
100.0.241.62,4.0
100.0.244.232,40.0
100.0.249.33,8.0
100.0.97.154,8.0
100.1.111.205,6.0
100.1.124.188,10.0
100.1.148.13,7.0
100.1.148.44,4.0
100.1.218.71,8.0
100.1.253.37,3.0
100.1.30.103,7.0
100.1.31.146,3.0
100.1.32.19,7.0
100.1.40.190,12.0
100.1.51.245,4.0
100.1.68.123,5.0
100.10.31.209,7.0
100.10.38.36,18.0
100.10.61.81,21.0
100.10.79.64,4.0
100.10.86.37,7.0
100.10.87.18,7.0
100.11.0.78,28.0
100.11.1.211,7.0
100.11.10.88,14.0
100.11.11.163,1.0
100.11.112.139,3.0
100.11.118.177,7.0
100.11.130.169,3.0
100.11.149.12,9.0
100.11.155.136,8.0
100.11.157.136,4.0
100.11.163.176,8.0
100.11.170.234,7.0
100.11.171.104,8.0
100.11.178.185,12.0
100.11.179.194,26.0
100.11.184.113,11.0
100.11.199.137,9.0
100.11.20.52,25.0
100.11.204.158,4.0
100.11.205.138,78.0
100.11.206.7,3.0
100.11.207.118,3.0
100.11.207.194,8.0
100.11.209.53,4.0
100.11.211.108,8.0
100.11.211.185,3.0
100.11.214.213,4.0
100.11.217.208,3.0
100.11.217.220,4.0
100.11.217.222,4.0
100.11.218.216,20.0
100.11.219.218,3.0
100.11.225.118,4.0
100.11.226.71,4.0
100.11.230.2,4.0
100.11.237.117,18.0
100.11.239.172,12.0
100.11.239.227,4.0
100.11.243.21,22.0
100.11.254.109,15.0
100.11.30.25,3.0
100.11.41.26,3.0
100.11.58.179,3.0
100.11.60.25,4.0
100.11.61.109,7.0
100.11.66.214,16.0
100.11.67.95,6.0
100.11.87.196,3.0
100.11.91.165,6.0
100.11.91.222,3.0
100.11.97.28,7.0
100.12.102.126,4.0
100.12.180.108,33.0
100.12.186.27,13.0
100.12.212.139,4.0
100.12.215.93,7.0
100.12.221.164,4.0
100.12.221.176,30.0
100.12.226.119,4.0
100.12.230.242,4.0
100.12.253.206,11.0
100.12.253.36,14.0
100.12.31.43,3.0
100.12.39.210,3.0
100.12.93.148,7.0
100.12.98.6,10.0
100.14.1.207,3.0
100.14.108.94,23.0
100.14.12.211,8.0
100.14.125.143,4.0
100.14.129.215,119.0
100.14.131.125,33.0
100.14.131.34,8.0
100.14.135.53,4.0
100.14.141.162,19.0
100.14.141.5,11.0
100.14.144.34,15.0
100.14.149.58,14.0
100.14.150.114,4.0
100.14.151.57,18.0
100.14.154.65,12.0
100.14.166.137,12.0
100.14.171.173,8.0
100.14.178.15,3.0
100.14.18.234,43.0
100.14.186.153,4.0
100.14.19.134,24.0
100.14.22.242,13.0
100.14.22.99,5.0
100.14.23.67,37.0
100.14.240.197,8.0
100.14.241.142,3.0
100.14.242.199,24.0
100.14.246.22,12.0
100.14.25.84,4.0
100.14.3.164,4.0
100.14.30.128,10.0
100.14.33.112,19.0
100.14.4.218,4.0
100.14.51.236,6.0
100.14.84.204,26.0
100.15.11.29,12.0
100.15.114.15,8.0
100.15.118.189,94.0
100.15.118.65,15.0
100.15.12.91,12.0
100.15.120.241,4.0
100.15.17.196,8.0
100.15.17.28,24.0
100.15.19.145,8.0
100.15.20.9,8.0
100.15.220.228,14.0
100.15.220.252,20.0
100.15.230.108,4.0
100.15.28.232,8.0
100.15.3.249,4.0
100.15.30.53,4.0
100.15.33.62,58.0
100.15.4.31,4.0
100.15.42.174,3.0
100.15.42.25,7.0
100.15.43.22,201.0
100.15.5.201,4.0
100.15.78.50,12.0
100.16.110.248,12.0
100.16.116.129,12.0
100.16.116.171,4.0
100.16.120.121,4.0
100.16.121.85,3.0
100.16.121.91,6.0
100.16.124.165,15.0
100.16.134.86,6.0
100.16.14.142,32.0
100.16.152.77,12.0
100.16.166.171,20.0
100.16.177.100,8.0
100.16.178.161,26.0
100.16.179.182,10.0
100.16.185.221,4.0
100.16.191.53,4.0
100.16.193.114,16.0
100.16.194.115,10.0
100.16.197.251,16.0
100.16.197.7,6.0
100.16.204.197,4.0
100.16.209.89,10.0
100.16.213.113,26.0
100.16.225.139,36.0
100.16.251.224,4.0
100.16.28.201,19.0
100.16.33.177,4.0
100.16.7.214,19.0
100.16.76.102,12.0
100.17.100.197,84.0
100.17.160.57,3.0
100.17.224.97,153.0
100.17.245.95,4.0
100.17.39.247,24.0
100.17.9.211,4.0
100.18.11.142,47.0
100.18.16.244,4.0
100.18.19.34,14.0
100.18.29.214,4.0
100.18.6.234,8.0
100.19.146.44,3.0
100.19.34.152,4.0
100.19.47.34,3.0
100.19.64.65,15.0
100.19.65.209,3.0
100.19.7.13,17.0
100.19.78.215,13.0
100.2.0.223,8.0
100.2.106.180,5.0
100.2.118.134,3.0
100.2.12.25,3.0
100.2.143.200,4.0
100.2.145.177,7.0
100.2.146.73,3.0
100.2.186.127,12.0
100.2.187.3,9.0
100.2.189.146,8.0
100.2.210.250,12.0
100.2.213.206,4.0
100.2.213.223,8.0
100.2.217.115,8.0
100.2.240.40,22.0
100.2.25.104,4.0
100.2.43.72,6.0
100.2.50.35,8.0
100.2.51.249,4.0
100.2.65.183,3.0
100.2.68.38,32.0
100.2.7.63,24.0
100.2.77.217,34.0
100.2.78.148,8.0
100.2.84.40,8.0
100.29.192.100,2.0
100.29.192.115,43.0
100.29.192.40,2.0
100.29.192.77,46.0
100.29.192.81,2.0
100.33.105.205,25.0
100.33.130.32,8.0
100.33.133.106,32.0
100.33.146.181,3.0
100.33.165.96,31.0
100.33.166.37,4.0
100.33.167.162,14.0
100.33.167.181,9.0
100.33.18.181,3.0
100.33.207.211,6.0
100.33.21.57,6.0
100.33.22.98,13.0
100.33.249.16,4.0
100.33.39.22,7.0
100.33.84.213,6.0
100.33.89.177,18.0
100.33.92.229,6.0
100.33.94.101,3.0
100.33.98.203,6.0
100.34.103.193,10.0
100.34.147.211,3.0
100.34.148.149,21.0
100.34.151.108,7.0
100.34.158.154,26.0
100.34.16.127,40.0
100.34.161.141,5.0
100.34.162.105,12.0
100.34.163.149,8.0
100.34.164.133,105.0
100.34.167.164,4.0
100.34.169.223,18.0
100.34.188.128,7.0
100.34.193.19,1.0
100.34.2.236,4.0
100.34.236.183,4.0
100.34.243.126,3.0
100.34.245.13,34.0
100.34.250.87,4.0
100.34.30.175,60.0
100.34.4.54,4.0
100.34.41.237,24.0
100.34.48.107,7.0
100.34.83.70,4.0
100.34.9.193,4.0
100.34.90.191,30.0
100.34.95.6,7.0
100.35.104.154,8.0
100.35.107.167,4.0
100.35.108.201,16.0
100.35.111.7,4.0
100.35.143.159,16.0
100.35.144.139,7.0
100.35.166.188,10.0
100.35.189.242,4.0
100.35.203.9,36.0
100.35.219.9,5.0
100.35.226.122,19.0
100.35.24.146,12.0
100.35.253.76,4.0
100.35.59.200,26.0
100.35.67.103,24.0
100.35.68.187,6.0
100.35.83.239,3.0
100.35.86.33,23.0
100.36.218.160,3.0
100.36.228.76,38.0
100.36.246.54,9.0
100.36.26.50,8.0
100.36.53.33,3.0
100.36.53.63,3.0
100.36.78.245,4.0
100.36.82.29,6.0
100.36.82.48,8.0
100.36.83.99,3.0
100.36.95.100,3.0
100.36.97.145,8.0
100.37.101.239,4.0
100.37.106.26,9.0
100.37.11.112,3.0
100.37.112.90,14.0
100.37.14.185,1.0
100.37.153.208,4.0
100.37.157.125,17.0
100.37.157.74,4.0
100.37.171.4,4.0
100.37.192.96,11.0
100.37.193.69,4.0
100.37.195.242,24.0
100.37.230.57,6.0
100.37.242.39,7.0
100.37.31.142,20.0
100.37.41.128,12.0
100.37.41.19,120.0
100.37.42.53,3.0
100.37.45.61,4.0
100.37.62.213,3.0
100.37.65.202,43.0
100.37.8.164,13.0
100.37.82.252,3.0
100.37.90.197,8.0
100.38.131.175,149.0
100.38.14.5,7.0
100.38.158.208,15.0
100.38.210.187,12.0
100.38.218.245,7.0
100.38.220.7,14.0
100.38.223.20,7.0
100.38.237.152,4.0
100.38.250.136,8.0
100.38.34.76,10.0
100.38.35.172,12.0
100.38.38.2,8.0
100.38.44.11,4.0
100.38.53.121,8.0
100.38.57.14,16.0
100.38.57.30,21.0
100.38.57.73,8.0
100.38.8.156,3.0
100.38.83.216,4.0
100.4.106.181,19.0
100.4.110.185,8.0
100.4.112.55,15.0
100.4.166.107,3.0
100.4.187.36,10.0
100.4.212.28,6.0
100.4.213.184,11.0
100.4.217.19,13.0
100.4.219.198,4.0
100.4.49.38,8.0
100.4.59.33,56.0
100.4.61.226,4.0
100.4.69.69,3.0
100.4.83.179,9.0
100.4.86.57,8.0
100.4.96.103,4.0
100.40.102.207,3.0
100.40.125.244,4.0
100.40.140.221,3.0
100.40.150.213,9.0
100.40.197.13,6.0
100.40.208.14,13.0
100.40.212.96,4.0
100.40.213.239,4.0
100.40.215.16,4.0
100.40.225.170,8.0
100.40.23.157,12.0
100.40.27.42,19.0
100.40.33.248,6.0
100.40.54.3,8.0
100.40.67.209,10.0
100.40.79.195,6.0
100.40.90.242,4.0
100.42.32.46,6.0
100.42.84.244,12.0
100.43.106.189,48.0
100.43.117.39,12.0
100.43.121.19,12.0
100.6.129.115,6.0
100.6.145.162,8.0
100.6.147.97,9.0
100.6.154.21,27.0
100.6.7.173,18.0
100.6.84.23,8.0
100.6.88.207,7.0
100.7.102.161,3.0
100.7.113.238,42.0
100.7.14.244,36.0
100.7.194.50,7.0
100.7.24.252,16.0
100.7.251.99,6.0
100.8.14.6,7.0
100.8.146.176,30.0
100.8.153.116,6.0
100.8.158.105,4.0
100.8.168.144,7.0
100.8.185.55,40.0
100.8.197.243,18.0
100.8.223.200,4.0
100.8.253.207,4.0
100.8.253.228,4.0
100.8.254.111,4.0
100.8.54.38,24.0
100.8.54.83,4.0
100.8.57.213,6.0
100.8.66.28,4.0
100.8.72.73,6.0
100.8.81.207,33.0
100.8.83.70,7.0
100.8.85.170,27.0
100.8.88.57,23.0
101.126.149.19,34.0
101.126.30.126,4.0
101.168.10.208,3.0
101.201.105.119,6.0
101.33.55.204,5.0
101.33.66.110,4351.0
101.36.102.26,6.0
101.36.105.50,2.0
101.36.106.134,6.0
101.36.106.78,25.0
101.36.106.89,1.0
101.36.107.243,80.0
101.36.107.46,277.0
101.36.107.65,2.0
101.36.108.133,4.0
101.36.108.191,5.0
101.36.108.248,12.0
101.36.110.201,20.0
101.36.112.101,2.0
101.36.112.24,42.0
101.36.114.222,66.0
101.36.116.45,6.0
101.36.118.248,3.0
101.36.119.146,4.0
101.46.81.220,1024.0
101.47.72.10,621.0
101.51.115.82,17.0
101.67.136.177,3.0
101.68.14.47,3.0
101.87.200.57,12.0
101.87.231.91,24.0
102.129.152.156,3.0
102.129.152.232,6.0
102.129.232.165,32.0
102.129.234.158,7.0
102.165.48.174,101.0
102.182.190.197,4.0
102.211.52.60,140.0
102.23.83.217,3.0
102.66.178.38,11.0
103.102.230.3,254.0
103.102.230.4,392.0
103.121.100.77,12.0
103.126.116.234,12.0
103.129.127.158,82.0
103.133.122.251,8.0
103.136.147.199,2.0
103.139.192.212,163.0
103.139.192.221,149.0
103.14.33.76,150.0
103.144.247.183,5.0
103.146.53.93,87.0
103.147.122.56,138.0
103.148.163.55,2.0
103.149.26.230,14.0
103.150.117.187,149.0
103.16.14.220,3.0
103.16.214.149,148.0
103.160.49.147,51.0
103.165.156.2,1101.0
103.169.175.3,4.0
103.172.154.255,1703.0
103.172.204.220,707.0
103.172.205.6,141.0
103.175.16.75,12.0
103.176.137.172,2.0
103.176.137.183,48.0
103.176.78.28,154.0
103.183.74.187,173.0
103.187.215.99,7787.0
103.19.57.78,12.0
103.20.102.84,25.0
103.203.241.68,12.0
103.203.57.16,6.0
103.203.57.20,48.0
103.203.57.4,2.0
103.203.57.5,6.0
103.203.58.1,2.0
103.203.58.4,17.0
103.203.59.2,2.0
103.203.59.4,2.0
103.203.59.5,13.0
103.203.59.6,2.0
103.203.59.7,3.0
103.203.72.19,40.0
103.216.51.171,3.0
103.218.241.58,13.0
103.218.241.7,4.0
103.218.242.181,162.0
103.226.77.252,2.0
103.228.37.132,4.0
103.231.92.117,7.0
103.233.11.133,46.0
103.240.25.219,24.0
103.241.22.130,19.0
103.242.195.97,4.0
103.244.175.181,12.0
103.245.219.55,4.0
103.245.237.254,90.0
103.249.199.1,2.0
103.26.48.15,2.0
103.29.69.96,7.0
103.35.110.245,4.0
103.36.222.120,55.0
103.36.222.123,6.0
103.39.109.117,2.0
103.44.167.49,20.0
103.45.246.23,12.0
103.45.246.42,9.0
103.46.9.69,3.0
103.47.18.52,4.0
103.49.206.99,2.0
103.56.163.106,21.0
103.56.61.130,128.0
103.6.245.163,63.0
103.67.78.132,275.0
103.67.78.49,2447.0
103.68.17.232,282.0
103.69.96.221,29.0
103.69.97.12,220.0
103.72.147.99,163.0
103.75.73.143,156.0
103.82.21.8,85.0
103.82.24.182,4.0
103.85.246.210,160.0
103.93.93.162,52.0
103.97.135.254,171.0
104.0.106.198,8.0
104.0.115.194,25.0
104.0.115.9,4.0
104.0.16.26,16.0
104.0.18.194,5.0
104.0.19.81,8.0
104.0.24.167,17.0
104.0.24.85,3.0
104.0.25.193,35.0
104.0.68.191,20.0
104.1.14.23,8.0
104.1.143.73,9.0
104.1.185.85,33.0
104.1.187.52,3.0
104.1.187.65,4.0
104.1.194.150,7.0
104.1.247.152,4.0
104.1.49.65,4.0
104.1.57.1,28.0
104.1.63.135,4.0
104.1.96.221,3.0
104.10.11.164,3.0
104.10.158.163,4.0
104.10.189.99,16.0
104.10.198.227,7.0
104.10.199.225,14.0
104.10.216.54,11.0
104.10.224.75,4.0
104.10.231.66,12.0
104.10.55.66,18.0
104.10.85.138,3.0
104.10.86.14,4.0
104.11.140.210,12.0
104.11.238.245,7.0
104.11.244.194,9.0
104.11.7.233,16.0
104.11.75.77,25.0
104.11.76.218,8.0
104.11.76.230,4.0
104.11.78.182,3.0
104.12.120.45,4.0
104.12.121.201,23.0
104.12.128.138,6.0
104.12.140.194,4.0
104.12.208.60,52.0
104.12.211.191,4.0
104.12.234.139,11.0
104.12.239.14,12.0
104.12.49.57,4.0
104.12.53.195,14.0
104.12.67.243,13.0
104.12.69.98,8.0
104.12.74.137,4.0
104.12.96.58,25.0
104.128.161.129,12.0
104.128.161.148,12.0
104.128.161.149,12.0
104.128.161.162,55.0
104.128.161.163,36.0
104.128.161.166,34.0
104.128.161.168,12.0
104.128.161.179,4.0
104.128.161.189,11.0
104.128.161.193,8.0
104.128.161.234,12.0
104.128.161.8,10.0
104.128.182.187,5.0
104.128.7.159,6.0
104.13.105.95,4.0
104.13.108.131,8.0
104.13.117.77,7.0
104.13.121.77,16.0
104.13.188.166,8.0
104.13.34.186,18.0
104.13.37.181,4.0
104.13.55.178,6.0
104.13.67.53,8.0
104.13.72.134,20.0
104.13.98.251,12.0
104.131.176.98,2.0
104.136.101.208,26.0
104.136.101.215,10.0
104.136.119.37,143.0
104.136.120.168,4.0
104.136.123.172,4.0
104.136.14.193,7.0
104.136.14.210,8.0
104.136.14.76,12.0
104.136.222.144,12.0
104.136.228.169,10.0
104.136.238.160,4.0
104.136.239.134,4.0
104.136.26.168,3.0
104.136.29.67,28.0
104.136.72.203,29.0
104.136.80.87,6.0
104.136.82.136,7.0
104.136.92.194,31.0
104.137.168.166,22.0
104.137.35.77,9.0
104.138.132.124,4.0
104.138.145.226,6.0
104.138.148.112,10.0
104.138.160.29,13.0
104.138.163.46,4.0
104.138.166.88,6.0
104.138.167.140,7.0
104.138.170.92,28.0
104.138.172.123,3.0
104.138.174.85,4.0
104.138.176.176,18.0
104.138.181.192,12.0
104.138.189.131,17.0
104.138.227.163,10.0
104.138.237.33,8.0
104.138.240.171,34.0
104.138.240.227,3.0
104.139.115.175,8.0
104.139.26.72,8.0
104.139.38.174,9.0
104.139.43.68,4.0
104.139.46.162,4.0
104.139.5.172,3.0
104.139.52.12,7.0
104.14.115.162,10.0
104.14.146.198,8.0
104.14.146.210,4.0
104.14.149.2,51.0
104.14.165.26,12.0
104.14.167.11,8.0
104.14.17.72,4.0
104.14.19.166,7.0
104.14.247.41,4.0
104.14.248.127,3.0
104.14.253.116,6.0
104.14.32.113,4.0
104.14.46.210,4.0
104.14.51.144,6.0
104.14.61.145,8.0
104.143.55.85,6.0
104.145.73.118,4.0
104.148.162.121,4.0
104.148.214.80,4.0
104.148.215.42,4.0
104.148.219.90,3.0
104.148.222.99,4.0
104.148.253.242,6.0
104.15.0.54,14.0
104.15.0.75,26.0
104.15.103.163,3.0
104.15.109.17,5.0
104.15.116.53,14.0
104.15.119.56,20.0
104.15.121.94,7.0
104.15.134.141,12.0
104.15.21.195,23.0
104.15.214.86,8.0
104.15.218.102,4.0
104.15.254.160,4.0
104.15.74.193,3.0
104.151.225.99,8.0
104.151.228.60,15.0
104.151.240.144,12.0
104.151.243.181,27.0
104.151.245.137,7.0
104.151.245.223,8.0
104.151.245.245,4.0
104.151.247.171,4.0
104.151.250.122,172.0
104.152.243.198,7.0
104.152.52.236,2.0
104.152.96.152,4.0
104.156.115.17,17.0
104.156.118.218,5.0
104.156.124.79,35.0
104.156.124.83,8.0
104.156.127.29,21.0
104.159.96.131,13.0
104.160.58.206,13.0
104.160.61.188,3.0
104.160.98.114,4.0
104.162.133.155,10.0
104.162.140.226,4.0
104.162.168.13,4.0
104.162.17.105,10.0
104.162.185.220,9.0
104.162.20.122,3.0
104.162.210.114,22.0
104.162.213.5,6.0
104.162.251.153,40.0
104.162.54.58,6.0
104.162.69.129,3.0
104.162.84.132,4.0
104.162.96.248,6.0
104.166.118.72,10.0
104.166.203.140,4.0
104.168.35.231,151.0
104.169.134.124,12.0
104.169.196.195,29.0
104.169.212.87,13.0
104.169.65.177,20.0
104.172.142.147,25.0
104.172.161.32,24.0
104.172.212.82,4.0
104.172.214.37,26.0
104.172.242.205,8.0
104.172.34.167,14.0
104.172.40.232,12.0
104.172.43.118,5.0
104.172.51.71,4.0
104.172.51.73,5.0
104.172.74.1,32.0
104.172.77.103,8.0
104.172.85.192,4.0
104.172.98.191,12.0
104.172.98.229,6.0
104.173.123.239,18.0
104.173.129.97,4.0
104.173.140.158,14.0
104.173.15.111,21.0
104.173.181.60,12.0
104.173.228.86,12.0
104.173.250.222,4.0
104.173.33.118,6.0
104.173.54.31,3.0
104.173.75.39,4.0
104.174.130.69,4.0
104.174.132.162,4.0
104.174.150.7,4.0
104.174.186.195,7.0
104.174.190.219,26.0
104.174.202.119,4.0
104.174.204.146,8.0
104.174.209.207,3.0
104.174.229.145,8.0
104.174.230.248,3.0
104.174.239.63,6.0
104.174.245.178,3.0
104.174.246.136,25.0
104.174.5.16,16.0
104.174.5.18,16.0
104.174.71.190,12.0
104.174.81.105,2.0
104.175.104.252,4.0
104.175.128.110,31.0
104.175.13.32,4.0
104.175.151.105,12.0
104.175.226.161,13.0
104.175.241.175,16.0
104.175.248.76,3.0
104.175.34.1,4.0
104.175.73.151,26.0
104.175.80.239,5.0
104.175.81.30,22.0
104.175.85.173,3.0
104.175.90.246,3.0
104.175.91.236,7.0
104.175.92.27,4.0
104.175.98.214,35.0
104.176.114.63,4.0
104.176.122.88,8.0
104.176.142.244,12.0
104.176.151.45,8.0
104.176.172.175,7.0
104.176.254.15,12.0
104.176.255.146,12.0
104.176.38.137,9.0
104.177.112.147,15.0
104.177.133.112,8.0
104.177.183.175,3.0
104.177.185.204,4.0
104.177.207.116,4.0
104.177.207.214,32.0
104.177.207.67,3.0
104.177.24.26,4.0
104.177.26.245,4.0
104.177.27.86,4.0
104.177.31.55,13.0
104.177.35.72,7.0
104.177.41.196,6.0
104.177.43.68,22.0
104.177.72.168,4.0
104.177.99.68,4.0
104.178.109.181,3.0
104.178.133.7,4.0
104.178.136.8,12.0
104.178.145.86,88.0
104.178.241.239,97.0
104.178.244.66,15.0
104.178.35.246,12.0
104.178.39.31,6.0
104.178.88.49,15.0
104.179.108.158,12.0
104.179.127.17,4.0
104.179.130.30,3.0
104.179.138.142,35.0
104.179.138.203,12.0
104.179.138.62,4.0
104.179.139.62,3.0
104.179.149.191,12.0
104.179.15.46,6.0
104.179.155.205,8.0
104.179.18.36,4.0
104.179.180.59,4.0
104.179.246.103,4.0
104.179.250.146,12.0
104.179.253.80,8.0
104.179.30.188,37.0
104.180.146.80,4.0
104.180.151.3,4.0
104.180.163.45,12.0
104.180.168.236,25.0
104.180.168.253,6.0
104.180.171.30,20.0
104.180.183.109,34.0
104.180.220.115,39.0
104.180.222.191,4.0
104.180.223.74,7.0
104.180.246.92,3.0
104.180.36.208,4.0
104.180.4.12,4.0
104.180.44.193,7.0
104.180.45.186,27.0
104.180.64.233,16.0
104.180.69.163,3.0
104.180.69.36,13.0
104.181.11.135,12.0
104.181.182.76,8.0
104.181.194.119,13.0
104.181.194.127,20.0
104.181.247.88,18.0
104.181.97.46,16.0
104.181.97.75,8.0
104.182.124.189,20.0
104.182.131.192,4.0
104.182.133.195,24.0
104.182.145.155,17.0
104.182.157.47,5.0
104.182.186.154,32.0
104.182.189.88,13.0
104.182.207.246,4.0
104.182.6.179,8.0
104.182.6.94,3.0
104.182.69.188,4.0
104.182.7.92,15.0
104.182.89.176,13.0
104.182.96.119,10.0
104.182.99.124,7.0
104.183.112.180,20.0
104.183.114.241,28.0
104.183.119.66,8.0
104.183.121.63,8.0
104.183.123.18,4.0
104.183.124.106,26.0
104.183.152.57,4.0
104.183.167.62,4.0
104.183.186.190,4.0
104.183.190.162,3.0
104.183.206.44,12.0
104.183.221.214,4.0
104.183.23.12,12.0
104.183.41.143,9.0
104.183.60.204,11.0
104.183.99.50,12.0
104.184.127.167,4.0
104.184.160.147,13.0
104.184.177.227,5.0
104.184.177.253,24.0
104.184.186.173,18.0
104.184.187.6,22.0
104.184.189.89,8.0
104.184.195.182,3.0
104.184.228.83,9.0
104.184.230.179,4.0
104.184.246.14,6.0
104.184.86.167,8.0
104.184.94.63,26.0
104.185.112.158,43.0
104.185.151.229,9.0
104.185.25.255,5.0
104.185.43.34,36.0
104.185.6.101,15.0
104.186.104.54,4.0
104.186.136.44,10.0
104.186.144.152,12.0
104.186.149.253,4.0
104.186.155.233,16.0
104.186.176.16,4.0
104.186.52.213,3.0
104.186.68.149,7.0
104.186.76.237,22.0
104.186.78.83,4.0
104.186.8.189,4.0
104.187.100.19,15.0
104.187.135.143,6.0
104.187.188.163,3.0
104.187.208.78,37.0
104.187.217.75,4.0
104.187.22.76,6.0
104.187.250.26,3.0
104.187.31.150,24.0
104.187.93.66,7.0
104.187.94.237,4.0
104.187.97.238,8.0
104.188.142.170,12.0
104.188.151.137,9.0
104.188.163.173,10.0
104.188.21.87,5.0
104.188.239.127,21.0
104.188.240.86,8.0
104.189.135.4,113.0
104.189.14.12,8.0
104.189.191.35,4.0
104.189.212.53,3.0
104.189.237.127,3.0
104.189.24.89,3.0
104.189.254.9,4.0
104.189.27.138,20.0
104.189.27.197,3.0
104.189.64.136,4.0
104.189.67.15,29.0
104.190.130.247,3.0
104.190.212.82,14.0
104.190.214.49,4.0
104.190.215.93,12.0
104.190.216.157,4.0
104.190.221.65,4.0
104.190.239.109,10.0
104.190.241.182,4.0
104.191.127.88,4.0
104.191.136.254,25.0
104.191.147.112,6.0
104.191.66.249,18.0
104.191.8.237,12.0
104.192.177.228,19.0
104.192.236.60,12.0
104.192.238.73,21.0
104.192.238.79,48.0
104.192.239.118,3.0
104.192.239.194,11.0
104.199.151.116,2.0
104.2.18.218,4.0
104.2.181.161,4.0
104.2.203.253,17.0
104.2.240.148,21.0
104.2.242.252,36.0
104.2.62.92,3.0
104.2.85.240,33.0
104.202.137.232,4.0
104.202.150.14,20.0
104.202.152.97,4.0
104.202.158.210,4.0
104.202.182.230,8.0
104.202.188.49,12.0
104.203.10.11,22.0
104.203.10.144,4.0
104.203.10.178,4.0
104.203.12.248,4.0
104.203.14.112,10.0
104.203.181.251,19.0
104.203.183.224,4.0
104.203.5.17,4.0
104.203.7.196,3.0
104.203.8.236,3.0
104.203.8.65,3.0
