@timestamp,Ciscoasa,Dicompot,Honeyaml,Medpot,SentryPeer,Abdhoney,Conpot,Cowrie,Dionaea,Elasticpot,H0neytr4p,Heralding,Ipphoney,Mailoney,Miniprint,Redishoneypot,Wordpot,Honeytrap
2025-07-02 00:00:00+00:00,2768,0,46,0,0,18,0,296,343,22,12,5497,0,4,2,8,107,2807
2025-07-02 01:00:00+00:00,1538,3,23,0,0,7,0,262,88,6,28,5079,0,26,0,6,77,2599
2025-07-02 02:00:00+00:00,1853,13,4,0,2,15,9,284,6483,173,75,5032,11,35,14,0,47,10284
2025-07-02 03:00:00+00:00,1326,0,26,0,21,2,10,334,9587,7,185,4503,3,2,0,7,23,2345
2025-07-02 04:09:46+00:00,2673,0,10,0,0,11,10,1788,15959,23,14,4272,0,12,0,0,16,2329
2025-07-02 05:00:00.031000+00:00,3147,8,27,0,0,23,8,1942,127,6,4,5100,0,19,28,12,54,2019
2025-07-02 06:00:00+00:00,3129,0,15,0,2,8,9,889,99,65,60,5090,6,2,11,28,91,1811
2025-07-02 07:00:00+00:00,5017,0,91,0,0,2,0,412,131,0,84,22442,0,10,0,0,178,2003
2025-07-02 08:00:00+00:00,4875,0,32,0,0,21,5,496,15991,30,15,25428,0,0,0,0,42,2595
2025-07-02 09:00:00.227000+00:00,4037,0,8,0,0,4,1,728,113,0,2657,5955,0,2,0,12,27,1978
2025-07-02 10:00:00+00:00,4520,0,41,0,0,5,8,1657,121,0,6039,5036,0,17,0,0,130,3361
2025-07-02 11:00:00+00:00,4172,0,67,0,0,19,17,545,173,23,5720,5046,0,175,8,0,63,3926
2025-07-02 12:00:00.083000+00:00,2659,0,4,0,0,6,10,701,85,25,4805,5066,2,203,0,2,56,3347
2025-07-02 13:00:01+00:00,2057,7,19,0,8,17,23,482,84,2,61,5096,0,190,15,56,50,3764
2025-07-02 14:00:00+00:00,2440,0,8,0,0,5,5,856,50,5,93,5034,5,219,13,0,146,4157
2025-07-02 15:00:00+00:00,2174,0,10,0,0,43,14,982,128,5,61,5161,0,202,0,22,48,2724
2025-07-02 16:00:00.312000+00:00,2355,0,33,0,13,7,4,1262,98,14,105,5074,20,209,2,0,23,2012
2025-07-02 17:00:00.586000+00:00,2290,6,38,0,2,17,21,889,184,21,131,5126,10,248,15,12,83,2923
2025-07-02 18:00:00.951000+00:00,1211,5,48,0,0,3,28,1038,62,2,102,5035,7,205,5,23,29,3556
2025-07-02 19:00:00+00:00,843,3,48,0,0,14,8,2578,35,7,144,5104,0,208,15,12,124,3297
2025-07-02 20:00:00+00:00,1260,3,4,0,10,30,12,521,683,23,136,4974,0,202,0,24,39,4285
2025-07-02 21:00:00.014000+00:00,1094,3,89,0,14,23,24,559,89,0,33,4873,0,214,0,21,57,3421
