port,hits
443.0,118011
52074.0,6
5901.0,141469
22.0,153114
34043.0,1
8728.0,2397
23.0,14352
30712.0,12
5900.0,962070
30696.0,7
30835.0,12
8443.0,209609
1080.0,5213
30957.0,4
445.0,223206
39412.0,9
39343.0,2
81.0,2278
3389.0,1123
39054.0,5
8159.0,149
9070.0,51
55555.0,176
53.0,70324
30843.0,21
9072.0,31
53496.0,7
8908.0,24
27775.0,5
12542.0,9
4157.0,27
9074.0,34
9042.0,372
30791.0,8
39308.0,7
30219.0,17
64227.0,7
9067.0,28
50802.0,874
30854.0,1
30695.0,7
46400.0,10
35586.0,6
4000.0,299
49948.0,4
49958.0,4
9078.0,29
30561.0,6
2323.0,1866
30927.0,6
32195.0,5
36266.0,6
8000.0,1413
1433.0,4510
30685.0,10
9076.0,33
30637.0,19
9077.0,34
45143.0,4
10000.0,475
30111.0,20
53488.0,9
53478.0,7
37230.0,5
30576.0,8
4024.0,39
39078.0,10
37236.0,4
42828.0,13
36814.0,5
30982.0,8
36684.0,6
39616.0,7
58948.0,8
30972.0,5
45008.0,8
9122.0,34
56800.0,10
30650.0,16
30609.0,17
9380.0,41
30745.0,16
13306.0,27
45514.0,3
3493.0,17
10250.0,334
45110.0,11
60072.0,9
86.0,100
30840.0,12
9200.0,2545
3395.0,93
31480.0,37
33800.0,5
30595.0,8
34568.0,117
5985.0,540
9205.0,48
48443.0,4
32250.0,27
48224.0,1
48220.0,4
48236.0,7
8013.0,192
4444.0,971
34567.0,487
21022.0,26
42143.0,3
43456.0,5
43452.0,4
36636.0,4
53875.0,1
1352.0,4
57678.0,6
3390.0,433
42179.0,4
30834.0,9
63694.0,9
47388.0,9
47394.0,10
47402.0,10
47418.0,9
43320.0,5
6856.0,16
30742.0,8
8332.0,29
30730.0,8
30707.0,8
30704.0,8
30667.0,19
2222.0,1409
39808.0,5
33994.0,6
33980.0,6
8081.0,942
8080.0,5820
30562.0,9
5500.0,308
30759.0,9
8454.0,56
2379.0,341
10002.0,154
46112.0,10
12372.0,9
37064.0,14
11211.0,524
13338.0,2
9120.0,42
4466.0,48
36761.0,1
42812.0,5
42814.0,6
42822.0,3
6134.0,36
11434.0,237
30525.0,6
3091.0,6
6940.0,17
53622.0,6
20256.0,259
39783.0,2
47484.0,4
47498.0,8
80.0,32161
9001.0,656
39888.0,3
53156.0,7
8800.0,279
53166.0,10
53180.0,6
39126.0,5
30676.0,8
48352.0,12
30941.0,16
29443.0,10
30967.0,24
30710.0,10
30926.0,9
5443.0,181
30708.0,16
41521.0,3
43644.0,4
40138.0,4
40154.0,7
40150.0,4
110.0,457
40544.0,4
13339.0,2
42907.0,6
40536.0,4
771.0,52
54318.0,12
502.0,124
31330.0,10
20741.0,9
8010.0,368
30675.0,17
30777.0,8
389.0,133
36252.0,18
45878.0,5
51200.0,189
45880.0,6
46348.0,7
6720.0,23
2082.0,193
40102.0,8
12286.0,23
58548.0,8
1900.0,82
45788.0,9
13331.0,8
30917.0,8
6080.0,156
54372.0,16
39814.0,5
30747.0,16
7118.0,20
22000.0,63
25398.0,9
5001.0,436
2404.0,634
2202.0,35
2200.0,64
8883.0,333
40562.0,7
1883.0,490
9100.0,1490
5010.0,60
9600.0,232
9615.0,27
31654.0,3
1089.0,14
5007.0,148
5800.0,249
6653.0,21
2179.0,10
3269.0,46
9000.0,1066
30790.0,8
30517.0,6
5003.0,72
9761.0,45
8087.0,491
5353.0,83
21.0,980
20000.0,291
8083.0,508
789.0,73
5986.0,359
10001.0,828
1090.0,23
993.0,1524
30564.0,8
20.0,54
6633.0,30
22222.0,518
514.0,30
3000.0,236
22223.0,18
5061.0,106
8447.0,52
3702.0,184
8086.0,520
123.0,357
162.0,14
992.0,34
40673.0,7
32767.0,7
8180.0,150
990.0,112
60290.0,10
53898.0,6
563.0,8
2252.0,18
2376.0,461
554.0,140
39493.0,2
12345.0,88
5002.0,280
5009.0,101
7080.0,117
5005.0,188
2221.0,76
25.0,22197
44818.0,283
4786.0,247
1026.0,207
37777.0,457
4321.0,76
5006.0,192
143.0,661
3872.0,28
6000.0,565
995.0,1550
6279.0,28
4911.0,179
1091.0,24
3306.0,1318
6679.0,31
37760.0,9
2641.0,7
324.0,4
30550.0,9
8085.0,557
30627.0,9
8009.0,535
4433.0,761
8082.0,170
49042.0,14
49040.0,7
49058.0,12
49026.0,3
465.0,892
830.0,50
30955.0,6
69.0,24
448.0,16
67.0,30
271.0,4
989.0,22
5683.0,85
261.0,6
39163.0,5
55338.0,12
40533.0,2
51626.0,7
5004.0,93
1911.0,362
53482.0,18
8084.0,364
5008.0,72
102.0,152
51688.0,2
51642.0,7
51658.0,3
51674.0,8
994.0,10
22022.0,54
585.0,6
541.0,64
5000.0,195
68.0,20
5684.0,47
8088.0,1103
44207.0,4
47808.0,90
161.0,53
853.0,30
2869.0,20
636.0,101
631.0,501
49873.0,10
13332.0,4
4840.0,377
6697.0,119
30778.0,8
31155.0,4
30760.0,18
5903.0,173
6969.0,89
47068.0,3
44844.0,4
47076.0,6
52728.0,4
53173.0,3
52073.0,3
52726.0,9
52730.0,8
40496.0,10
39917.0,3
8802.0,36
13333.0,13
9022.0,118
5555.0,2482
5060.0,685
4293.0,16
37215.0,268
2078.0,340
30101.0,37
7999.0,172
2347.0,4
8106.0,52
9113.0,28
6091.0,21
36133.0,1
1377.0,5
47172.0,6
55090.0,6
8140.0,150
30848.0,8
55080.0,11
55102.0,10
30519.0,8
8652.0,12
6036.0,490
44592.0,9
20235.0,5
4009.0,27
34318.0,5
34322.0,5
34338.0,7
30905.0,10
65422.0,99
53926.0,7
53940.0,5
61428.0,5
30856.0,10
40212.0,10
40204.0,5
3254.0,1
53902.0,7
6561.0,23
7277.0,17
4567.0,321
30744.0,8
5858.0,38
37844.0,10
44578.0,8
59872.0,8
58000.0,342
30734.0,11
58334.0,7
39405.0,2
30878.0,17
30633.0,18
50001.0,284
32007.0,4
56373.0,2
54090.0,13
57210.0,2
57226.0,6
30995.0,19
39062.0,14
36858.0,3
4153.0,135
30802.0,9
1203.0,4
55079.0,1
20079.0,5
6761.0,16
6541.0,21
30865.0,20
41292.0,11
39660.0,6
30729.0,9
48482.0,2
39516.0,8
48472.0,4
8688.0,21
60000.0,495
3138.0,17
39882.0,6
39731.0,2
8174.0,33
30827.0,8
30965.0,17
37228.0,14
37238.0,7
30872.0,8
37250.0,8
4010.0,61
8700.0,22
16040.0,7
46276.0,10
50176.0,3
3200.0,9
39529.0,2
38383.0,9
8708.0,20
30666.0,10
39487.0,3
35900.0,8
2096.0,289
30774.0,8
22252.0,5
8705.0,19
8706.0,16
37418.0,9
42310.0,4
38638.0,8
57673.0,5
9627.0,22
8703.0,12
39134.0,5
30812.0,17
30694.0,17
30646.0,18
39232.0,5
39242.0,6
39246.0,5
30988.0,17
1688.0,15
30735.0,11
30643.0,8
8911.0,22
30771.0,9
39672.0,6
30849.0,16
27914.0,4
53573.0,3
4145.0,832
30652.0,10
18444.0,54
30914.0,8
6387.0,18
39777.0,2
33584.0,7
41102.0,9
60001.0,722
51002.0,54
6510.0,33
30698.0,9
33556.0,4
33572.0,5
36654.0,7
30803.0,16
57095.0,1
39779.0,3
46620.0,13
2083.0,344
34870.0,9
