@timestamp,ip,port,country,city,org
,None,None,None,None,None
2025-06-23T03:18:27.000Z,52.14.58.0,5060.0,United States,Columbus,AMAZON-02
2025-06-23T02:00:56.681Z,185.233.247.245,5060.0,Türkiye,None,Veganet Teknolojileri ve Hizmetleri LTD STI
2025-06-23T01:59:51.000Z,185.233.247.245,5060.0,None,None,None
,None,None,None,None,None
2025-06-24T02:38:20.000Z,185.224.128.23,5060.0,The Netherlands,Amsterdam,Alsycon B.V.
,None,None,None,None,None
,None,None,None,None,None
,None,None,None,None,None
2025-06-23T23:16:08.000Z,185.224.128.23,5060.0,The Netherlands,Amsterdam,Alsycon B.V.
,None,None,None,None,None
2025-06-23T20:00:25.000Z,167.94.146.60,5060.0,United States,Amsterdam,CENSYS-ARIN-02
2025-06-23T17:52:50.000Z,20.163.34.74,5060.0,United States,Phoenix,MICROSOFT-CORP-MSN-AS-BLOCK
,None,None,None,None,None
,None,None,None,None,None
,None,None,None,None,None
,None,None,None,None,None
2025-06-23T15:08:31.000Z,45.131.155.254,5060.0,Germany,None,Detai Prosperous Technologies Limited
,None,None,None,None,None
,None,None,None,None,None
2025-06-23T10:12:31.000Z,101.36.118.37,5060.0,Hong Kong,Hong Kong,UCLOUD INFORMATION TECHNOLOGY HK LIMITED
,None,None,None,None,None
2025-06-23T09:00:13.823Z,167.94.138.169,5060.0,United States,Council Bluffs,CENSYS-ARIN-01
,None,None,None,None,None
2025-06-23T08:58:39.000Z,34.56.204.44,5060.0,None,None,None
2025-06-23T07:35:18.000Z,185.224.128.23,5060.0,The Netherlands,Amsterdam,Alsycon B.V.
,None,None,None,None,None
2025-06-23T04:09:47.000Z,3.131.215.38,5060.0,United States,Amsterdam,AMAZON-02
,None,None,None,None,None
,None,None,None,None,None
2025-06-24T23:50:05.000Z,185.224.128.23,5060.0,The Netherlands,Amsterdam,Alsycon B.V.
,None,None,None,None,None
2025-06-25T03:03:50.000Z,185.224.128.23,5060.0,The Netherlands,Amsterdam,Alsycon B.V.
2025-06-25T00:11:33.000Z,101.36.121.22,5060.0,Hong Kong,Hong Kong,UCLOUD INFORMATION TECHNOLOGY HK LIMITED
,None,None,None,None,None
2025-06-24T21:36:17.000Z,119.167.222.135,5060.0,China,None,CHINA UNICOM China169 Backbone
2025-06-24T20:04:45.000Z,206.168.34.212,5060.0,United States,Amsterdam,CENSYS-ARIN-01
,None,None,None,None,None
,None,None,None,None,None
2025-06-24T16:22:35.000Z,148.113.214.202,5060.0,Canada,None,OVH SAS
,None,None,None,None,None
